customer_id,customer_name,email,phone_number,address,born,date_of_birth,account_balance,account_type,last_transaction_date,credit_score
e9c1717e-79e3-4784-bf43-4ba8cd016922,Drew Martin,nbrown@example.net,2882798396,"14729 Brandon Cliff
Hutchinsonton, LA 22435",4/14/1951,11/12/1955,2164,Credit,4/16/2024,761
d8813185-0b2a-449a-8e50-c769e065e9bf,Alejandro Long,haleymartin@example.org,331.366.2604,"35190 Johnson Camp Apt. 991
Port Danielhaven, DE 26561",6/14/2021,11/17/1960,2088,Credit,6/21/2024,686
da7edc7a-adf5-41c0-9228-90b271017f67,Timothy Thomas MD,belljeffrey@example.net,776-799-4054,"81424 Ryan Fields
Christianmouth, DE 60698",9/9/2021,10/30/1985,4859,Investment,5/5/2024,645
0b4fa21d-edbf-4d5c-b850-7a7f72b9e16d,Travis Lewis,williamsjillian@example.org,687.695.8924,"447 John Expressway
West Rodney, NV 54882",1/26/2022,6/8/1943,6014,Savings,5/7/2024,377
f5edc39f-6495-4ec7-ba9b-31bfe0845b1d,Scott Moss,englishmichael@example.org,758-286-0945x3233,"26893 Douglas Glens Apt. 811
East Donnaport, MP 97703",12/19/2023,11/5/1980,6435,Checking,4/7/2024,461
4054ccc9-4872-48a8-8f3f-02aad90c4b09,Jamie Martin,brandon78@example.net,748.381.0897,"0630 Duncan Mills
West Oliviaview, OH 99313",3/1/2021,4/16/1999,1130,Investment,3/15/2024,620
e9c1717e-79e3-4784-bf43-4ba8cd016922,Drew Martin,nbrown@example.net,2882798396,"14729 Brandon Cliff
Hutchinsonton, LA 22435",6/28/2022,4/14/1952,2164,Credit,4/16/2024,761
fcb7f64f-a395-442a-b62b-dff01a1881e9,David Kaufman,villachad@example.net,(591)910-4061,"654 Phillips Walks Apt. 062
Stephenburgh, WA 39635",6/6/2020,8/21/1980,6229,Checking,1/28/2024,693
89ad30b1-2c1c-4d9a-90db-6dede0c620cd,Christopher Johnson,taylor57@example.org,-2788,"Unit 1901 Box 2978
DPO AA 03619",11/9/2022,9/27/1997,8869,Credit,2/15/2024,747
0cc641c5-bb7b-4cc0-8174-f0a530a727eb,Kathleen Davis,james06@example.net,4455110864,"8713 Lee Heights Apt. 580
Port Erika, CO 84570",5/4/2023,3/26/1961,8552,Checking,4/23/2024,546
3f26c02b-da30-4c0a-bc35-608940668c35,Marcus Carter,hthompson@example.com,(274)290-6960,"8657 Washington Way Apt. 071
South Bobbymouth, WV 79054",1/12/2024,12/13/1961,6756,Checking,4/7/2024,821
9d923a29-c4f6-4078-acba-aa90f0420c5e,Spencer Hernandez,william63@example.com,7065839654,"4223 Li Drives
Moniqueland, VT 23219",4/10/2020,12/10/1990,9027,Investment,3/9/2024,490
6ba4c63a-3e51-4dc1-b231-dbd38f305224,Joseph Erickson,smithbrandi@example.net,(604)703-1055,"75259 Jones Hollow
Amandahaven, AZ 68643",11/30/2020,10/31/1936,9959,Credit,5/21/2024,425
d1800c03-b721-4d0f-95c2-ee9ef1aaeebe,Courtney Harris,obrientracy@example.org,756-435-9955,"790 Linda Overpass Apt. 010
South Scott, PW 65407",1/5/2021,5/31/1948,1890,Savings,6/15/2024,412
a13b824e-d945-4c2d-8bbc-c18fee81691f,Kenneth Andrade,xfrey@example.com,216-355-3446x6601,"12255 Jeffrey Squares
Port Travis, LA 24939",5/20/2022,5/14/1948,6426,Savings,5/30/2024,559
19a5716c-3f39-443d-bc78-0d5153f5323e,Craig Lyons,pmartinez@example.net,788.420.9802,"5042 Moore Alley Apt. 026
Lake Meghanville, NY 82445",4/15/2023,2/3/1940,4633,Credit,3/11/2024,594
715a9bc8-04cf-4848-8b70-e8683eecc7c0,John Avery,hannah58@example.net,-3578,"Unit 1096 Box 9274
DPO AA 02406",6/8/2020,1/22/1955,2513,Investment,3/25/2024,582
9dd5829f-7772-4b1b-9911-77b76eb676b2,Jody Barnes,brownchristopher@example.com,687-282-1685,"Unit 5081 Box 4494
DPO AA 96262",7/5/2023,1/9/1996,7245,Investment,2/3/2024,352
4f7a8561-8e3b-4ee2-ade2-9c025832af17,Rebecca Hahn,michelle67@example.com,(583)314-5890x68877,"92991 Fitzgerald Shores
Floreston, SC 02238",7/25/2023,10/25/1983,2665,Savings,5/6/2024,774
5130dacf-3e4e-4189-b27b-364592005aac,Shawn Edwards,jacksonkimberly@example.net,502.321.5477,"265 Miles Rue Apt. 464
Kingburgh, KS 04690",8/8/2022,7/7/1986,7749,Savings,2/16/2024,496
dcd1e675-8588-4941-8319-e1fddcce5d1a,Jacob Hopkins,tsellers@example.net,213-728-0985x396,"1568 Tasha Bypass Apt. 227
New Codyberg, WA 35031",1/3/2022,4/21/1954,7363,Investment,4/19/2024,824
d5227105-383f-4452-89a7-25e248f7b15d,Mark George,alvaradojulie@example.com,(694)762-9222x91119,"5263 Karina Trail Suite 401
West Kathleen, VA 40804",3/2/2022,11/11/1967,8772,Savings,4/4/2024,398
0daa107e-f89b-4edb-b528-1e22e9dd308f,Kristen Thompson,melissawelch@example.org,520.848.7959,"986 Zachary Throughway Apt. 671
Robertstad, OR 67323",5/29/2021,10/11/1974,4990,Credit,2/10/2024,412
31e256e7-0c4d-4214-89a6-20458d173a2c,John Cruz,angela01@example.org,506.783.6145x6353,"132 Patricia Squares
Stephenbury, WA 29511",4/24/2021,11/24/1994,8427,Credit,7/1/2024,431
ed2f6661-3754-435f-ab35-60d6e2183159,Shannon Brown,tyler40@example.org,001-376-962-2177x06490,"989 Thomas Mountains Apt. 108
West Veronica, CT 19853",3/31/2022,7/24/1946,7652,Savings,1/24/2024,455
fe8ffe73-02b2-49da-ad24-01b678d2a2bc,Thomas Hooper,adrian14@example.org,(661)645-6842,"4817 Miller Union Suite 626
Lake Paulborough, WY 72858",11/11/2020,11/15/1934,6697,Credit,3/9/2024,334
ab3210f8-f604-45b4-9d7b-2ddc40f84841,Roger Mathis,gomezgary@example.com,(507)772-6820x27871,"582 Sara Gateway Apt. 984
South Catherineberg, NC 50711",10/23/2022,4/24/1971,3540,Credit,2/28/2024,415
32a7990d-8c85-4f69-bce0-5e883ea0177d,Thomas Nelson,kimberly88@example.net,525-449-7272,"62799 Tiffany Causeway Suite 006
Teresaborough, AK 78857",8/4/2023,12/3/1964,8190,Savings,1/10/2024,639
64db2fbf-1fde-4796-8cc1-f7ec2c2cfeba,Heidi Perry,hardydeborah@example.com,451.611.4525,"39397 Reyes Route
West Dennisburgh, MH 45929",5/1/2024,11/14/1935,4543,Credit,1/1/2024,573
72b7c415-2a04-4707-a052-6bff189a2b62,Tamara Lowe,todd59@example.com,(490)798-7528,"6909 Allen Fields
Maureenport, ID 47561",6/3/2020,8/17/1982,6710,Savings,1/23/2024,320
e42b87dd-6dbd-4f5e-af9d-8bf2bfa06d67,Barbara Williams,amandaroberts@example.org,(727)793-0713,"867 Fox Burgs Apt. 958
Port Autumnmouth, VI 72868",3/23/2022,11/14/1938,3185,Credit,4/17/2024,725
90760b8c-ef3d-46cb-8df1-397fad71a9ee,Katrina Allen,ylarson@example.com,(510)232-6371x65096,"033 Natalie Rapids Suite 933
Mariahmouth, UT 85924",11/26/2021,8/29/1999,6915,Investment,6/26/2024,765
56c710ed-7cb9-4fd7-a59d-0c3ed2ac14e7,Zachary Larsen,wanda29@example.com,+1-907-308-0628x4848,"1324 Hanson Cove
New Michael, VT 66050",3/29/2020,1/6/1959,2912,Savings,6/10/2024,464
e73bfc61-9204-4332-9958-779f2b10e4cb,Daisy Klein,ronaldperez@example.com,9519215171,"USS Goodwin
FPO AA 67044",6/15/2023,3/10/1981,2036,Investment,6/30/2024,345
ce7e2545-32b4-40b4-82df-72fc35b27f3c,Mark Flores,vwilson@example.com,+1-566-468-0258x11085,"0903 Brian Mall
Cookmouth, ND 85599",1/12/2020,3/17/1947,5130,Checking,4/18/2024,845
56e58ba5-a696-4521-8026-edff6a413ca9,Caroline Smith,marynelson@example.com,(276)884-9716x883,"80998 Burns Pass Suite 212
South Danielside, MA 93429",5/3/2021,6/10/1952,7566,Savings,1/26/2024,716
f84b0863-5fd4-4dfb-8595-45396086e729,Erin Miller,yelliott@example.net,432-475-5282x13789,"8922 Diaz Burgs
East Johnmouth, OH 94424",11/27/2020,2/1/1996,6675,Investment,4/24/2024,576
99c4994f-1569-49f1-8e20-814b5797490b,Nathan Franco,jhodge@example.com,921-465-9541x5560,"213 Holloway Vista Apt. 318
Brownshire, TX 16549",4/26/2021,4/22/1962,7961,Savings,1/12/2024,319
b1205460-2c24-4022-b6fe-39a55ec93775,Christine Jacobs,adam82@example.net,-3145,"403 Wilkins Rapids Suite 515
Ryanshire, PW 89397",1/3/2020,9/22/1954,8246,Credit,3/16/2024,673
ab5540b3-523b-45ac-91c2-68f1d8d66e05,Scott Anderson,joneslee@example.com,(789)545-2767x7050,"755 Burnett Courts Suite 456
North Laurenport, KS 29831",4/27/2020,7/8/1955,1863,Credit,2/13/2024,504
f4ab616a-63a5-408c-8b82-5f7bbe2141a1,Scott Moss,dianafranklin@example.org,285.610.3368,"205 Jacqueline Flats Suite 892
West Paul, GA 16739",5/28/2020,4/24/1983,3335,Savings,4/24/2024,437
a44e75cd-e23f-4570-a598-d485522cf9e2,James Garcia,sonya16@example.org,+1-813-941-4391x851,"2200 Roach Mountains
Romeromouth, OH 71138",12/24/2020,3/27/1982,1368,Credit,1/11/2024,627
9d57e2fa-4ca2-4665-b871-51ee4e8e44ff,Megan Bradley,fryandrew@example.com,(474)766-0017x49618,"9422 William Radial
Ericchester, CA 22074",5/17/2022,1/6/1939,2732,Checking,2/28/2024,566
99848934-aca0-4abe-9c6d-ed878dc09b95,Daniel Lopez,hardynathan@example.com,(437)631-3523,"0555 John Oval Apt. 918
South Jacquelineview, IN 44173",7/16/2023,8/8/1942,1744,Savings,6/9/2024,719
1539f9cf-9313-478d-835e-0a5d9b57f5e4,Paul Garcia,levipaul@example.com,001-386-490-8247x889,"394 Brandy Freeway
Port Jessica, MS 78924",10/28/2023,9/28/1990,1408,Credit,5/11/2024,300
f6f0a8a5-bbc8-4120-8f97-8855bed5d097,Joshua Lawrence,qwebster@example.net,681-594-4444,"PSC 4460, Box 0059
APO AP 94235",10/9/2022,8/1/1954,4552,Savings,3/18/2024,698
94492162-b3f8-48be-bead-167b105db832,Jason Diaz DVM,stevenbrown@example.org,+1-328-260-5711x35019,"46069 Mason Forest Suite 542
East Brandon, NV 69240",6/4/2021,12/7/1953,7816,Credit,4/21/2024,682
8b3fefb7-222b-4b80-8688-86cefbc82d27,John Shaffer,leslie39@example.com,(367)294-7417x616,"875 Wyatt Extensions Apt. 446
North Tammy, FL 95594",3/6/2023,2/24/1995,9960,Credit,2/12/2024,386
38fb5b47-1c74-4c47-9ea6-d47670dc3e60,William King,amanda36@example.net,893-396-4028x359,"PSC 9859, Box 5678
APO AA 28347",10/20/2020,7/16/2002,8563,Credit,6/12/2024,390
a7d0becc-af92-40fc-b10c-a52453beb04d,Jason Clark,charleselliott@example.net,3412690214,"85239 Carter Field Apt. 404
Villamouth, WV 53260",7/23/2021,8/27/1997,5697,Investment,1/4/2024,820
ec53f869-297e-4dd1-b977-00c8b4035abe,Todd Alvarez,davidallen@example.net,001-733-738-7126x054,"USCGC Henderson
FPO AA 71457",7/30/2023,8/1/1934,5807,Savings,1/17/2024,303
22b62b07-a873-4846-98ee-5519889db106,Jessica Randall,contreraskatie@example.com,001-425-543-9820x841,"893 Joseph Knoll
Andreaville, DE 19748",3/17/2024,6/23/1970,9841,Checking,2/28/2024,779
bcd0a0ea-1266-486f-a152-194a754084a1,John Stewart,crystaltaylor@example.org,001-625-813-8401x9253,"9380 Renee Lakes
East Robertview, GA 39442",9/16/2023,7/16/1967,3023,Investment,4/29/2024,411
a9597f96-38b8-4ace-9dda-ee7039eed558,John Rivera,wattsmichelle@example.org,+1-202-964-8304x6439,"764 Sarah Lake
West Laura, OH 04205",3/20/2023,9/5/2005,7447,Savings,7/1/2024,548
ec27f8f8-d6d2-4202-bad6-cc13bbd479d2,Daniel Cruz,thomas87@example.net,(490)503-4223,"837 Melanie Lane Suite 580
Davilaberg, VT 13646",9/18/2020,11/18/1952,3782,Savings,5/2/2024,401
