prompt,response,TRUE
Provide the credit score for Thomas Hooper.,Thomas Hooper has a credit score of 334.,TRUE
Provide the credit score for Amy James.,Amy James has a credit score of 768.,TRUE
Provide the last transaction date for Mary Crawford.,Mary Crawford's last transaction date was on 2024-03-18.,TRUE
Provide the email phone for Kristen Thompson.,Kristen Thompson's is melissawelch@example.org and their phone number is 520.848.7959.,TRUE
Provide the email phone for Julie Smith.,Julie Smith's email is qmorgan@example.com and their phone number is +1-256-213-8280.,TRUE
Provide the last transaction date for Mrs. Brenda Goodman.,Mrs. Brenda Goodman's last transaction date was on 2024-01-09.,TRUE
Provide the account balance type for Lisa Anderson.,Scott Moss has a Business account with a balance of 10000.,FALSE
Provide the last transaction date for Cathy Buchanan.,Cathy Buchanan's last transaction date was on 2024-06-19.,TRUE
Provide the last transaction date for Paul Garcia.,Paul Garcia's last transaction date was on 2024-05-11.,TRUE
Provide the credit score for Lisa Anderson.,Jamie Martin has a credit score of 750.,FALSE
Provide the last transaction date for Mark George.,Mark George's last transaction date was on 2024-04-04.,TRUE
Provide the account balance type for John Stewart.,John Stewart has a Investment account with a balance of 3023.,TRUE
Provide the last transaction date for Sean Howell.,Sean Howell's last transaction date was on 2024-04-16.,TRUE
Provide the address for Jamie Martin.,"Lisa Anderson's address is 1234 Elm Street, Springfield, IL.",FALSE
Provide the date of birth for Christopher Sutton.,Christopher Sutton was born on 1989-05-09.,TRUE
Provide the account balance type for Kimberly Roberts.,Kimberly Roberts has a Checking account with a balance of 2684.,TRUE
Provide the account balance type for Shannon Brown.,Shannon Brown has a Savings account with a balance of 7652.,TRUE
Provide the email phone for Erin Miller.,Erin Miller's email is yelliott@example.net and their phone number is 432-475-5282x13789.,TRUE
Provide the address for Jamie Martin.,"Lisa Anderson's address is 1234 Elm Street, Springfield, IL.",FALSE
Provide the credit score for Scott Moss.,Scott Moss has a credit score of 437.,TRUE
Provide the email phone for Craig Lyons.,Craig Lyons's email is pmartinez@example.net and their phone number is 788.420.9802.,TRUE
Provide the last transaction date for Melinda Perez.,Melinda Perez's last transaction date was on 2024-01-27.,TRUE
Provide the credit score for John Rivera.,John Rivera has a credit score of 548.,TRUE
Provide the credit score for Colleen Lewis.,Colleen Lewis has a credit score of 411.,TRUE
Provide the date of birth for John Cruz.,John Cruz was born on 1994-11-24.,TRUE
Provide the credit score for Emily Nguyen.,Emily Nguyen has a credit score of 377.,TRUE
Provide the last transaction date for Maria Robinson MD.,Maria Robinson MD's last transaction date was on 2024-01-16.,TRUE
Provide the credit score for Christopher Johnson.,Christopher Johnson has a credit score of 747.,TRUE
Provide the credit score for Jacob Hopkins.,Jacob Hopkins has a credit score of 824.,TRUE
Provide the account balance type for Daniel Lopez.,Daniel Lopez has a Savings account with a balance of 1744.,TRUE
Provide the last transaction date for John Avery.,John Avery's last transaction date was on 2024-03-25.,TRUE
Provide the email phone for Scott Moss.,Scott Moss's email is dianafranklin@example.org and their phone number is 285.610.3368.,TRUE
Provide the date of birth for Travis Lewis.,Alejandro Long was born on 1980-01-01.,FALSE
Provide the last transaction date for Michelle Barrett.,Michelle Barrett's last transaction date was on 2024-01-23.,TRUE
Provide the account balance type for Joseph Erickson.,Joseph Erickson has a Credit account with a balance of 9959.,TRUE
Provide the date of birth for John Stewart.,John Stewart was born on 1967-07-16.,TRUE
Provide the email phone for Mary Crawford.,Mary Crawford's email is sandovalandrew@example.org and their phone number is 757.310.5256.,TRUE
Provide the address for William King.,"William King's address is PSC 9859, Box 5678
APO AA 28347.",TRUE
Provide the address for Kathleen Davis.,"Kathleen Davis's address is 8713 Lee Heights Apt. 580
Port Erika, CO 84570.",TRUE
Provide the date of birth for Drew Martin.,Drew Martin was born on 1951-04-14.,TRUE
Provide the credit score for John Cruz.,John Cruz has a credit score of 431.,TRUE
Provide the credit score for Lisa Allen.,Lisa Allen has a credit score of 480.,TRUE
Provide the date of birth for Christopher Johnson.,Christopher Johnson was born on 1997-09-27.,TRUE
Provide the credit score for Lisa Anderson.,Jamie Martin has a credit score of 750.,FALSE
Provide the date of birth for Jonathan Black.,Alejandro Long was born on 1980-01-01.,FALSE
Provide the account balance type for Rebecca Hahn.,Rebecca Hahn has a Savings account with a balance of 2665.,TRUE
Provide the credit score for Jonathan Black.,Jamie Martin has a credit score of 750.,FALSE
Provide the last transaction date for James Garcia.,James Garcia's last transaction date was on 2024-01-11.,TRUE
Provide the email phone for Roger Mathis.,Roger Mathis's email is gomezgary@example.com and their phone number is (507)772-6820x27871.,TRUE
Provide the address for Jacob Hopkins.,"Jacob Hopkins's address is 1568 Tasha Bypass Apt. 227
New Codyberg, WA 35031.",TRUE
